x, y, z
-0.7741,0,-0.7741
-0.7741,0,-0.5964
-0.7741,0,-0.4186
-0.7741,0,-0.2408
-0.7741,0,-0.063
-0.7741,0,0.1148
-0.7741,0,0.2925
-0.7741,0,0.4703
-0.7741,0,0.6481
-0.7741,0,0.8259
-0.5964,0,-0.7741
-0.5964,0,-0.5964
-0.5964,0,-0.4186
-0.5964,0,-0.2408
-0.5964,0,-0.063
-0.5964,0,0.1148
-0.5964,0,0.2925
-0.5964,0,0.4703
-0.5964,0,0.6481
-0.5964,0,0.8259
-0.4186,0,-0.7741
-0.4186,0,-0.5964
-0.4186,0,-0.4186
-0.4186,0,-0.2408
-0.4186,0,-0.063
-0.4186,0,0.1148
-0.4186,0,0.2925
-0.4186,0,0.4703
-0.4186,0,0.6481
-0.4186,0,0.8259
-0.2408,0,-0.7741
-0.2408,0,-0.5964
-0.2408,0,-0.4186
-0.2408,0,-0.2408
-0.2408,0,-0.063
-0.2408,0,0.1148
-0.2408,0,0.2925
-0.2408,0,0.4703
-0.2408,0,0.6481
-0.2408,0,0.8259
-0.063,0,-0.7741
-0.063,0,-0.5964
-0.063,0,-0.4186
-0.063,0,-0.2408
-0.063,0,-0.063
-0.063,0,0.1148
-0.063,0,0.2925
-0.063,0,0.4703
-0.063,0,0.6481
-0.063,0,0.8259
0.1148,0,-0.7741
0.1148,0,-0.5964
0.1148,0,-0.4186
0.1148,0,-0.2408
0.1148,0,-0.063
0.1148,0,0.1148
0.1148,0,0.2925
0.1148,0,0.4703
0.1148,0,0.6481
0.1148,0,0.8259
0.2925,0,-0.7741
0.2925,0,-0.5964
0.2925,0,-0.4186
0.2925,0,-0.2408
0.2925,0,-0.063
0.2925,0,0.1148
0.2925,0,0.2925
0.2925,0,0.4703
0.2925,0,0.6481
0.2925,0,0.8259
0.4703,0,0.025862
0.4703,0,-0.5964
0.4703,0,-0.4186
0.4703,0,-0.2408
0.4703,0,-0.063
0.4703,0,0.1148
0.4703,0,0.2925
0.4703,0,0.4703
0.4703,0,0.6481
0.4703,0,0.8259
0.6481,0,-0.7741
0.6481,0,-0.5964
0.6481,0,-0.4186
0.6481,0,-0.2408
0.6481,0,-0.063
0.6481,0,0.1148
0.6481,0,0.2925
0.6481,0,0.4703
0.6481,0,0.6481
0.6481,0,0.8259
0.8259,0,-0.7741
0.8259,0,-0.5964
0.8259,0,-0.4186
0.8259,0,-0.2408
0.8259,0,-0.063
0.8259,0,0.1148
0.8259,0,0.2925
0.8259,0,0.4703
0.8259,0,0.6481
0.8259,0,0.8259
