x,y,z
300,50,-15
300,60,-15
300,70,-15
300,80,-15
300,90,-15
300,100,-15
300,110,-15
300,50,0
300,60,0
300,70,0
300,80,0
300,90,0
300,100,0
300,110,0
300,50,15
300,60,15
300,70,15
300,80,15
300,90,15
300,100,15
300,110,15
300,50,30
300,60,30
300,70,30
300,80,30
300,90,30
300,100,30
300,110,30
300,50,45
300,60,45
300,70,45
300,80,45
300,90,45
300,100,45
300,110,45
306,50,-15
306,60,-15
306,70,-15
306,80,-15
306,90,-15
306,100,-15
306,110,-15
306,50,0
306,60,0
306,70,0
306,80,0
306,90,0
306,100,0
306,110,0
306,50,15
306,60,15
306,70,15
306,80,15
306,90,15
306,100,15
306,110,15
306,50,30
306,60,30
306,70,30
306,80,30
306,90,30
306,100,30
306,110,30
306,50,45
306,60,45
306,70,45
306,80,45
306,90,45
306,100,45
306,110,45
312,50,-15
312,60,-15
312,70,-15
312,80,-15
312,90,-15
312,100,-15
312,110,-15
312,50,0
312,60,0
312,70,0
312,80,0
312,90,0
312,100,0
312,110,0
312,50,15
312,60,15
312,70,15
312,80,15
312,90,15
312,100,15
312,110,15
312,50,30
312,60,30
312,70,30
312,80,30
312,90,30
312,100,30
312,110,30
312,50,45
312,60,45
312,70,45
312,80,45
312,90,45
312,100,45
312,110,45
318,50,-15
318,60,-15
318,70,-15
318,80,-15
318,90,-15
318,100,-15
318,110,-15
318,50,0
318,60,0
318,70,0
318,80,0
318,90,0
318,100,0
318,110,0
318,50,15
318,60,15
318,70,15
318,80,15
318,90,15
318,100,15
318,110,15
318,50,30
318,60,30
318,70,30
318,80,30
318,90,30
318,100,30
318,110,30
318,50,45
318,60,45
318,70,45
318,80,45
318,90,45
318,100,45
318,110,45
324,50,-15
324,60,-15
324,70,-15
324,80,-15
324,90,-15
324,100,-15
324,110,-15
324,50,0
324,60,0
324,70,0
324,80,0
324,90,0
324,100,0
324,110,0
324,50,15
324,60,15
324,70,15
324,80,15
324,90,15
324,100,15
324,110,15
324,50,30
324,60,30
324,70,30
324,80,30
324,90,30
324,100,30
324,110,30
324,50,45
324,60,45
324,70,45
324,80,45
324,90,45
324,100,45
324,110,45
330,50,-15
330,60,-15
330,70,-15
330,80,-15
330,90,-15
330,100,-15
330,110,-15
330,50,0
330,60,0
330,70,0
330,80,0
330,90,0
330,100,0
330,110,0
330,50,15
330,60,15
330,70,15
330,80,15
330,90,15
330,100,15
330,110,15
330,50,30
330,60,30
330,70,30
330,80,30
330,90,30
330,100,30
330,110,30
330,50,45
330,60,45
330,70,45
330,80,45
330,90,45
330,100,45
330,110,45
336,50,-15
336,60,-15
336,70,-15
336,80,-15
336,90,-15
336,100,-15
336,110,-15
336,50,0
336,60,0
336,70,0
336,80,0
336,90,0
336,100,0
336,110,0
336,50,15
336,60,15
336,70,15
336,80,15
336,90,15
336,100,15
336,110,15
336,50,30
336,60,30
336,70,30
336,80,30
336,90,30
336,100,30
336,110,30
336,50,45
336,60,45
336,70,45
336,80,45
336,90,45
336,100,45
336,110,45
342,50,-15
342,60,-15
342,70,-15
342,80,-15
342,90,-15
342,100,-15
342,110,-15
342,50,0
342,60,0
342,70,0
342,80,0
342,90,0
342,100,0
342,110,0
342,50,15
342,60,15
342,70,15
342,80,15
342,90,15
342,100,15
342,110,15
342,50,30
342,60,30
342,70,30
342,80,30
342,90,30
342,100,30
342,110,30
342,50,45
342,60,45
342,70,45
342,80,45
342,90,45
342,100,45
342,110,45
348,50,-15
348,60,-15
348,70,-15
348,80,-15
348,90,-15
348,100,-15
348,110,-15
348,50,0
348,60,0
348,70,0
348,80,0
348,90,0
348,100,0
348,110,0
348,50,15
348,60,15
348,70,15
348,80,15
348,90,15
348,100,15
348,110,15
348,50,30
348,60,30
348,70,30
348,80,30
348,90,30
348,100,30
348,110,30
348,50,45
348,60,45
348,70,45
348,80,45
348,90,45
348,100,45
348,110,45
354,50,-15
354,60,-15
354,70,-15
354,80,-15
354,90,-15
354,100,-15
354,110,-15
354,50,0
354,60,0
354,70,0
354,80,0
354,90,0
354,100,0
354,110,0
354,50,15
354,60,15
354,70,15
354,80,15
354,90,15
354,100,15
354,110,15
354,50,30
354,60,30
354,70,30
354,80,30
354,90,30
354,100,30
354,110,30
354,50,45
354,60,45
354,70,45
354,80,45
354,90,45
354,100,45
354,110,45
360,50,-15
360,60,-15
360,70,-15
360,80,-15
360,90,-15
360,100,-15
360,110,-15
360,50,0
360,60,0
360,70,0
360,80,0
360,90,0
360,100,0
360,110,0
360,50,15
360,60,15
360,70,15
360,80,15
360,90,15
360,100,15
360,110,15
360,50,30
360,60,30
360,70,30
360,80,30
360,90,30
360,100,30
360,110,30
360,50,45
360,60,45
360,70,45
360,80,45
360,90,45
360,100,45
360,110,45
366,50,-15
366,60,-15
366,70,-15
366,80,-15
366,90,-15
366,100,-15
366,110,-15
366,50,0
366,60,0
366,70,0
366,80,0
366,90,0
366,100,0
366,110,0
366,50,15
366,60,15
366,70,15
366,80,15
366,90,15
366,100,15
366,110,15
366,50,30
366,60,30
366,70,30
366,80,30
366,90,30
366,100,30
366,110,30
366,50,45
366,60,45
366,70,45
366,80,45
366,90,45
366,100,45
366,110,45
372,50,-15
372,60,-15
372,70,-15
372,80,-15
372,90,-15
372,100,-15
372,110,-15
372,50,0
372,60,0
372,70,0
372,80,0
372,90,0
372,100,0
372,110,0
372,50,15
372,60,15
372,70,15
372,80,15
372,90,15
372,100,15
372,110,15
372,50,30
372,60,30
372,70,30
372,80,30
372,90,30
372,100,30
372,110,30
372,50,45
372,60,45
372,70,45
372,80,45
372,90,45
